text,location,category
"Smoking causes lung cancer, heart disease, and emphysema.",CDC,Health
"Cigarette smoke contains over 7,000 chemicals, hundreds of which are toxic.",CDC,Effect
Nicotine reaches the brain within 10 seconds of inhaling cigarette smoke.,Cleveland Clinic,Effect
Carbon monoxide in cigarette smoke pushes oxygen out of red blood cells.,Cleveland Clinic,Effect
"Smoking damages the cilia in your lungs, making it harder to fight off infections.",Cleveland Clinic,Effect
Tar from cigarettes stains teeth and damages tooth enamel.,Cleveland Clinic,Effect
"Smoking narrows and hardens blood vessels, raising the risk of heart attack and stroke.",Cleveland Clinic,Effect
Nicotine causes thinner and more brittle bones over time.,Cleveland Clinic,Effect
Smoking damages your DNA and blocks your body's ability to repair it.,Cleveland Clinic,Effect
Chemicals in cigarettes can damage the eyes and lead to vision loss.,Cleveland Clinic,Effect
Smoking weakens the immune system and increases the risk of autoimmune diseases.,Surgeon General,Health
"Smoking during pregnancy can cause fetal injury, premature birth, and low birth weight.",Cleveland Clinic,Health
"Secondhand smoke causes serious health risks to non-smokers, including children.",Cleveland Clinic,Health
Smoking can cause at least 12 different types of cancer.,CDC,Health
"Smoking causes type 2 diabetes, increasing risk by 30 to 40 percent compared to non-smokers.",Cleveland Clinic,Health
"Smoking causes chronic obstructive pulmonary disease, known as COPD.",Cleveland Clinic,Health
Nicotine dependence develops because the body builds a tolerance and needs more over time.,Cleveland Clinic,Health
"Withdrawal symptoms from quitting include anxiety, depression, restlessness, and insomnia.",Surgeon General,Effect
Quitting smoking greatly reduces serious risks to your health at any age.,Cleveland Clinic,Effect
"Within weeks of quitting, lung inflammation and mucus production begin to calm down.",Cleveland Clinic,Health
Cilia in the lungs begin to regrow within a few months of quitting smoking.,Cleveland Clinic,Health
Quitting smoking for several years can reduce cancer risk to nearly that of a non-smoker.,CDC,Health
"Nicotine replacement therapy options include patches, gum, lozenges, and nasal sprays.",CDC,Health
Making a quit plan before stopping smoking greatly increases the chances of success.,CDC,Health
"Smoking causes premature aging of the skin, deepening wrinkles over time.",CDC,Health
Smoking reduces the sense of smell by damaging nerve endings in the nose.,Cleveland Clinic,Effect
Children exposed to secondhand smoke are at higher risk for asthma and respiratory infections.,Cleveland Clinic,Effect
Smoking costs the United States over 300 billion dollars a year in healthcare expenses and lost productivity.,CDC,Health
,CDC,Health
